Área,Grupo terapéutico,Principio activo,Presentaciones,Dosis adulto,Dosis peso,Ajuste IR/IH,Vías,Notas,Fuente,Dosis basada en peso (si aplica)
Urgencias,Anafilaxia,Adrenalina (epinefrina) 1 mg/ml (1:1000) IM; 1 mg/10 ml (1:10 000) IV,1 mg/ml (IM); 0.1 mg/ml (IV),Anafilaxia: 0.5 mg IM (0.5 ml de 1 mg/ml) cada 5–10 min si precisa. PCR: 1 mg IV cada 3–5 min.,0.01 mg/kg IM (máx 0.5 mg).,IR/IH: no ajuste.,"IM, IV, nebulizada",Preferir IM cara anterolateral muslo.,Urgencias.csv,
,Corticoide,Dexametasona,4 mg/ml IV; 8 mg VO,4–8 mg IV/VO en anafilaxia/edema laríngeo/CEFA; pautas según cuadro.,0.1–0.2 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO",Beneficio diferido en anafilaxia.,Urgencias.csv,
,Corticoide,Hidrocortisona,100 mg vial,100–200 mg IV en shock anafiláctico/insuficiencia suprarrenal.,2 mg/kg IV.,IR: sin ajuste. IH: precaución.,IV,,Urgencias.csv,
UCI_Críticos,Broncodilatador,Salbutamol,2.5 mg/2.5 ml; 5 mg/2.5 ml nebulizable; inhalador 100 mcg,Nebulización 2.5–5 mg cada 20 min x 3 luego según respuesta; MDI 4–8 pulsaciones cada 20 min x 3.,0.15 mg/kg/dosis.,IR/IH: sin ajuste.,"Nebulizada, inhalada",Vigilar taquicardia/hipoK.,Urgencias.csv,
,Anticolinérgico,Ipratropio,0.5 mg/2 ml nebulizable,0.5 mg nebulizado cada 20 min x 3 en exacerbación.,—,IR/IH: sin ajuste.,Nebulizada,Asociar a beta‑agonista en crisis moderada‑grave.,Urgencias.csv,
,Corticoide inhalado,Budesonida,0.5 mg/2 ml; 1 mg/2 ml nebulizable,0.5–1 mg nebulizado cada 12 h.,—,IR/IH: sin ajuste.,Nebulizada,Alternativa a sistémicos en algunas crisis.,Urgencias.csv,
,Electrolito,Sulfato de magnesio,1 g/10 ml; 2 g/20 ml,Asma grave: 2 g IV en 20 min.,40–50 mg/kg (máx 2 g).,IR: precaución (acumula). IH: sin ajuste.,IV,Vigilar TA y reflejos.,Urgencias.csv,
,Sedación/inducción,Midazolam,1 mg/ml; 5 mg/ml,1–2 mg IV titulados; perfusión en UCI según objetivo.,0.02–0.1 mg/kg IV.,IR: sin ajuste relevante. IH: reducir.,"IV, IM, VO",Depresión respiratoria.,Urgencias.csv,
,Sedación/inducción,Diazepam,5 mg/ml IV; 10 mg VO,5–10 mg IV lenta según crisis/ansiedad.,0.1–0.3 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO, rectal",,Urgencias.csv,
,BZD (estatus),Lorazepam,2 mg/ml IV; 1–2 mg VO,1–2 mg IV repetible en estatus convulsivo.,0.05–0.1 mg/kg.,IR: sin ajuste. IH: precaución.,"IV, VO",,Urgencias.csv,
,Inductor,Etomidato,20 mg/10 ml (2 mg/ml),0.3 mg/kg IV para inducción.,0.3 mg/kg.,IR/IH: sin ajuste significativo.,IV,Supresión adrenal transitoria.,Urgencias.csv,
,Inductor,Propofol,10 mg/ml,1–2 mg/kg IV inducción; mantenimiento 5–10 mg/kg/h.,1–2 mg/kg.,IR: sin ajuste. IH: reducir.,IV,Evitar en hipotensión no resucitada.,Urgencias.csv,
,Analgosedación/disociativo,Ketamina,50 mg/ml; 100 mg/ml,Analgesia: 0.1–0.3 mg/kg IV; Sedación: 1–2 mg/kg IV o 4–5 mg/kg IM.,ver adulto (peso‑basado).,IR: sin ajuste. IH: precaución.,"IV, IM",Broncodilatador; puede ↑PA/FC.,Urgencias.csv,
UCI_Críticos,Bloqueo neuromuscular,Rocuronio,10 mg/ml,RSI: 1–1.2 mg/kg IV; mantenimiento 0.2–0.3 mg/kg.,1–1.2 mg/kg.,IR: sin ajuste; IH: prolongación posible.,IV,Antagonizable con sugammadex.,Urgencias.csv,
UCI_Críticos,Bloqueo neuromuscular,Succinilcolina,20 mg/ml,RSI: 1–1.5 mg/kg IV.,1–1.5 mg/kg.,"IR/IH: sin ajuste; evitar en hiperK, politrauma tardío, quemados.",IV,Contraindicada en hiperK conocida/miopatías.,Urgencias.csv,
,Antídoto opioides,Naloxona,0.4 mg/ml ampolla,0.04–0.2 mg IV titulable; repetir hasta respiración adecuada.,0.01 mg/kg IV/IM/IN.,IR/IH: sin ajuste.,"IV, IM, IN",Vigilar re‑sedación (vida media corta).,Urgencias.csv,
,Antídoto BZD,Flumazenilo,0.1 mg/ml ampolla,0.2 mg IV en 15 s; repetir 0.1 mg cada min hasta 1 mg.,0.01 mg/kg (máx 0.2 mg/dosis).,IR/IH: precaución.,IV,Evitar si riesgo convulsivo por sobredosis mixta/TCAs.,Urgencias.csv,
,Antídoto paracetamol,N‑acetilcisteína (NAC),200 mg/ml IV; 600 mg VO,Esquema IV: 150/50/100 mg/kg (0–1 h/1–4 h/4–21 h).,mg/kg según esquema.,IR: sin ajuste. IH: indicada en hepatotoxicidad.,"IV, VO",Ajustar a peso real; reacciones anafilactoides posibles.,Urgencias.csv,
,Hipoglucemia,Glucosa hipertónica,20% o 50% IV,"Adulto: 25 g (p.ej., 50 ml al 50%) IV en bolo.",0.5 g/kg (2 ml/kg al 25%).,IR/IH: sin ajuste.,IV,Revisar acceso venoso; riesgo extravasación.,Urgencias.csv,
,Hipoglucemia/antic Betas,Glucagón,1 mg IM/SC; 1 mg IV,1 mg IM/SC (adulto); puede repetirse.,0.5 mg si <25 kg.,IR/IH: sin ajuste.,"IM, SC, IV",Ineficaz si depleción de glucógeno.,Urgencias.csv,
,HiperK/estabiliza membrana,Gluconato cálcico,10% (0.22 mmol/ml),10 ml IV en 5–10 min; repetir si ECG no corrige.,—,IR/IH: sin ajuste.,IV,No mezclar con bicarbonato en la misma vía.,Urgencias.csv,
,CAD/HiperK (shift),Insulina regular,100 U/ml,HiperK: 10 U IV + 25 g glucosa; CAD: 0.1 U/kg/h tras bolo 0.1 U/kg.,0.1 U/kg bolo y perfusión.,IR: reducir si tendencia a hipoglucemia. IH: sin ajuste.,"IV, SC",Monitorizar K+ y glucemias.,Urgencias.csv,
,Alcalinizante,Bicarbonato sódico,1 mEq/ml (bolsa 100 mEq),"50–100 mEq IV según indicación (TSCA, hiperK con acidosis, TCA).",—,IR: vigilar Na+/volumen. IH: sin ajuste.,IV,No de rutina en PCR ni en CAD no complicada.,Urgencias.csv,
Urgencias,Antiarrítmico,Amiodarona,150 mg/3 ml; viales 150 mg,PCR FV/TV: 300 mg IV bolo; luego 150 mg. TV estable: 150 mg IV en 10 min.,5 mg/kg IV.,IR: sin ajuste. IH: precaución; vigilar función hepática.,"IV, VO",Evitar con bradicardia marcada/bloqueo AV.,Urgencias.csv,
Urgencias,Antiarrítmico,Adenosina,6 mg/2 ml; 12 mg/4 ml,"TPSV: 6 mg IV bolo rápido; si no revierte, 12 mg; repetir 12 mg.",0.1–0.2 mg/kg.,IR/IH: sin ajuste.,IV,Contraindicada en asma grave; bloqueo AV alto grado.,Urgencias.csv,
,Anticolinérgico,Atropina,1 mg/1 ml,Bradicardia sintomática: 0.5 mg IV cada 3–5 min (máx 3 mg).,0.02 mg/kg (mín 0.1 mg).,IR/IH: sin ajuste.,IV,,Urgencias.csv,
,Vasopresor,Noradrenalina,1 mg/ml; 4 mg/4 ml,Iniciar 0.05–0.1 mcg/kg/min y titular a PAM objetivo.,0.05–1 mcg/kg/min.,IR/IH: sin ajuste; vigilar perfusión periférica.,IV (central preferible),,Urgencias.csv,
,Antiagregante,Ácido acetilsalicílico (AAS),100 mg; 300 mg (VO),SCA: 150–300 mg masticable carga; luego 100 mg/día.,—,IR: evitar en IR grave. IH: precaución.,VO,,Urgencias.csv,
,Vasodilatador,Nitroglicerina,Solución perfusión (50 mg/10 ml),"5–10 mcg/min, aumentar 5–10 mcg/min cada 3–5 min hasta control síntomas/PA.",—,IR/IH: precaución.,IV,"Evitar si hipotensión, uso de inhibidores PDE5.",Urgencias.csv,
,Anticoagulante,Heparina no fraccionada (HNF),ampollas 5000 UI; viales 25000 UI/5 ml,"Carga 60–80 UI/kg IV, perfusión 12–18 UI/kg/h (ajustar a TTPa).",UI/kg según protocolo.,IR: sin ajuste; IH: precaución (riesgo sangrado).,IV,Monitorizar TTPa.,Urgencias.csv,
,HBPM,Enoxaparina,"20, 40, 60, 80, 100 mg (jeringas)",TEP/SCA: 1 mg/kg cada 12 h; si ClCr <30: 1 mg/kg cada 24 h.,1 mg/kg.,IR: ajustar como indicado. IH: precaución.,SC,Peso‑basado; no mezclar con HNF.,Urgencias.csv,
,Antifibrinolítico,Ácido tranexámico,500 mg/5 ml; 1 g/10 ml,Hemorragia: 1 g IV en 10 min + 1 g en 8 h (o 10–15 mg/kg).,10–15 mg/kg.,IR: reducir dosis si ClCr <60. IH: sin ajuste.,IV,Administrar precoz (<3 h en trauma/PPH).,Urgencias.csv,
,IBP,Omeprazol,40 mg vial; 20–40 mg VO,40 mg IV/VO cada 24 h (sangrado alto riesgo puede bolo+perfusión).,—,IR: sin ajuste. IH: precaución.,"IV, VO",,Urgencias.csv,
,IBP,Pantoprazol,40 mg vial; 40 mg VO,40 mg IV/VO cada 24 h.,—,IR: sin ajuste. IH: precaución.,"IV, VO",,Urgencias.csv,
Neuro_Psiquiatría,Antipsicótico,Haloperidol,5 mg/ml IV/IM; 1–5 mg VO,1–2 mg IV/IM; repetir cada 15–30 min (vigilar QT).,0.05 mg/kg.,IR: sin ajuste. IH: reducir.,"IV, IM, VO",Asociar BZD si precisa; ECG si dosis altas.,Urgencias.csv,
,Butirofenona,Droperidol,2.5 mg/ml,1.25–2.5 mg IV (según náusea/agitación resistente).,—,IR/IH: precaución.,IV,QT prolongado: monitorizar.,Urgencias.csv,
Cardiología_MI,Diurético de asa,Furosemida,20 mg/2 ml; 40 mg VO,20–40 mg IV; duplicar hasta respuesta (edema agudo pulmón).,0.5–1 mg/kg IV.,IR: pueden requerirse dosis mayores. IH: sin ajuste.,"IV, VO","Vigilar K+, creatinina.",Urgencias.csv,
,Antibiótico betalactámico,Amoxicilina/clavulánico,1.2 g IV; 875/125 mg VO,1.2 g IV cada 8 h (ajustar según infección).,—,IR: espaciar si ClCr <30. IH: precaución (colestasis).,"IV, VO",,Urgencias.csv,
,Cefalosporina 3ª,Ceftriaxona,1 g; 2 g viales IV,1–2 g IV cada 24 h (meningitis 2 g/12 h).,50 mg/kg/dosis.,IR: sin ajuste. IH: precaución.,"IV, IM",No mezclar con Ca en RN.,Urgencias.csv,
,Antipseudomonal,Piperacilina/tazobactam,4.5 g IV,4.5 g IV cada 6–8 h (prolongar infusión según protocolo).,—,IR: ajustar si ClCr <40.,IV,,Urgencias.csv,
,Carbapenem,Meropenem,1 g IV,1 g IV cada 8 h (meningitis 2 g/8 h).,20–40 mg/kg.,IR: ajustar si ClCr <50. IH: sin ajuste.,IV,,Urgencias.csv,
,Glicopéptido,Vancomicina,500 mg; 1 g IV,15–20 mg/kg IV cada 8–12 h (monitorizar niveles).,15–20 mg/kg.,IR: ajustar según niveles y ClCr. IH: sin ajuste.,IV,Perfusión lenta; vigilar nefro/oto.,Urgencias.csv,
,Nitroimidazol,Metronidazol,500 mg/100 ml IV; 250 mg VO,500 mg IV/VO cada 8 h.,7.5 mg/kg cada 8 h.,IR: sin ajuste. IH: reducir si IH grave.,"IV, VO",Evitar alcohol (reacción tipo disulfiram).,Urgencias.csv,
,Macrólido,Azitromicina,"500 mg IV/VO (día 1), luego 250 mg/día VO",500 mg día 1; luego 250 mg/día (3–5 días según cuadro).,10 mg/kg día 1; 5 mg/kg/día siguientes.,IR: sin ajuste. IH: precaución.,"IV, VO",,Urgencias.csv,
,Tetraciclina,Doxiciclina,100 mg VO/IV,100 mg cada 12 h (200 mg/día).,2 mg/kg cada 12 h.,IR: sin ajuste. IH: precaución.,"IV, VO",,Urgencias.csv,
,Fluoroquinolona,Levofloxacino,500 mg; 750 mg VO/IV,500–750 mg cada 24 h según infección.,10–15 mg/kg/día.,IR: ajustar si ClCr <50. IH: precaución.,"IV, VO",QT/pro‑tendinopatía; evitar si alternativa.,Urgencias.csv,
Urgencias,Analgesia/Antitérmico,Paracetamol,500–1000 mg (IV/VO),1 g/6–8h (máx 4 g/día),10–15 mg/kg,Reducir en IH grave,"IV, VO",Vigilar hepatotoxicidad,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Urgencias,Antiemético,Ondansetrón,4–8 mg (IV/VO),4 mg/8–12h (máx 16 mg/día),0.1 mg/kg,Máx 8 mg/día en IH grave,"IV, VO",Prolonga QT,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Urgencias,Anafilaxia,Adrenalina,1 mg/ml (IM),0.5 mg IM/5–10 min,0.01 mg/kg,No ajuste,IM,1ª elección en anafilaxia,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Urgencias,Sedación,Midazolam,1–5 mg/ml (IV/IM),1–2 mg titulados,0.02–0.1 mg/kg,Reducir en IH,"IV, IM",Depresión respiratoria,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Urgencias,Antídoto,Naloxona,0.4 mg/ml (IV/IM/IN),0.04–0.2 mg IV,0.01 mg/kg,No ajuste,"IV, IM, IN",Re-sedación posible,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Urgencias,Antiarrítmico,Amiodarona,150 mg/3 ml,300 mg bolo PCR,5 mg/kg,Precaución IH,IV,Evitar con bradicardia,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Urgencias,Antibiótico,Ceftriaxona,1–2 g IV,1–2 g/24h,50 mg/kg,No ajuste IR,IV,No mezclar con Ca en RN,farmacos_hospitalarios_completo_ES.xlsx::Urgencias,
Neuro_Psiquiatría,BZD,Diazepam,5 mg/ml IV; 10 mg rectal,2–10 mg IV,0.1–0.3 mg/kg,Reducir en IH,"IV, rectal",Evitar con alcohol,farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Neuro_Psiquiatría,Antiepiléptico,Levetiracetam,500 mg–1.5 g VO/IV,500–1500 mg/12h,60 mg/kg carga,Ajustar IR,"IV, VO",Bien tolerado,farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Neuro_Psiquiatría,Antipsicótico,Haloperidol,5 mg/ml IV/IM,1–5 mg IV/IM,0.05 mg/kg,Reducir IH,"IV, IM",Prolonga QT,farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Neuro_Psiquiatría,Antidepresivo,Sertralina,50–100 mg VO,50–200 mg/día,—,Reducir IH grave,VO,Síndrome serotoninérgico,farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Neuro_Psiquiatría,Ansiolítico,Pregabalina,75–300 mg VO,75 mg/12h → máx 600 mg/día,—,Ajustar IR,VO,"Sedación, abuso",farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Neuro_Psiquiatría,Parkinson,Levodopa/carbidopa,100/25 mg VO,100/25 mg cada 8h,—,Precaución IH,VO,No suspender bruscamente,farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Neuro_Psiquiatría,Migraña,Sumatriptán,50–100 mg VO; 6 mg SC,50–100 mg VO o 6 mg SC,—,Evitar IH grave,"VO, SC",Contraindicado cardiopatía,farmacos_hospitalarios_completo_ES.xlsx::Neuro_Psiquiatría,
Cardiología_MI,Antiagregante (SCA),Ticagrelor,90 mg VO,Carga 180 mg; luego 90 mg/12 h,—,Precaución IH moderada-grave,VO,Evitar con inductores potentes CYP3A4; disnea.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Antiagregante (SCA),Clopidogrel,75 mg VO,Carga 300–600 mg; luego 75 mg/día,—,No ajuste IR/IH (precaución IH grave),VO,Resistencia variable (CYP2C19).,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Anticoagulante DOAC,Apixabán,"2.5, 5 mg VO","5 mg/12 h (2.5 mg/12 h si ≥2 criterios: ≥80 a, ≤60 kg, Cr ≥1.5)",—,Ajustar en IR grave; evitar ClCr <15,VO,Interacciones P-gp/CYP3A4.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Anticoagulante DOAC,Rivaroxabán,"10, 15, 20 mg VO",20 mg/día con comida (FA); 15 mg/día si ClCr 15–49,—,Ajustar IR; evitar <15,VO,Riesgo sangrado GI.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Anticoagulante DOAC,Dabigatrán,"110, 150 mg VO",150 mg/12 h; 110 mg/12 h si ≥80 a o alto riesgo sangrado,—,Ajustar IR; contraindicado <30,VO,Antídoto: idarucizumab.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Inótropo,Dobutamina,250 mg/20 ml (12.5 mg/ml),2–20 mcg/kg/min IV,Peso-basado,Sin ajuste específico; precaución IH,IV,Taquiarritmias; hipotensión.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Inótropo/vasodilatador,Milrinona,10 mg/10 ml (1 mg/ml),Carga 50 mcg/kg en 10 min; luego 0.25–0.75 mcg/kg/min,Peso-basado,Ajustar por IR,IV,Hipotensión; arritmias.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Betabloqueante (FA/TA),Metoprolol (tartrato),1 mg/ml IV; 50–100 mg VO,IV 2.5–5 mg cada 5 min (máx 15 mg); VO 25–50 mg/12 h,—,Precaución en IH; no ajuste IR,"IV, VO",Evitar en asma/BAV alto grado.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Calcioantagonista no-DHP,Diltiazem,25 mg/5 ml IV; 60–120 mg VO,"IV 0.25 mg/kg bolo, repetir 0.35 mg/kg; perfusión 5–15 mg/h",0.25–0.35 mg/kg,Precaución IH,"IV, VO",Evitar con FEVI baja; bradicardia.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Vasodilatador potente,Nitroprusiato sódico,50 mg vial,0.3–10 mcg/kg/min IV,Peso-basado,Precaución IR/IH (tiocianatos),IV,Monitorización invasiva PA; evitar uso prolongado.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,HTA urgente,Labetalol,5 mg/ml IV,"20 mg IV, luego 20–80 mg cada 10 min o perfusión 0.5–2 mg/min",—,Precaución IR/IH,IV,Broncoespasmo en asmáticos.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,HTA urgente,Urapidilo,25 mg/5 ml IV; amp 50 mg,25 mg IV lenta; repetir según respuesta; perfusión 10–50 mg/h,—,Precaución IH,IV,Hipotensión/cefalea.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,IC crónica (ARNI),Sacubitrilo/valsartán,"24/26, 49/51, 97/103 mg VO",Iniciar 49/51 mg/12 h (ajustar); titular a 97/103 mg/12 h,—,Ajuste en IR e IH; contraind. IECA en 36 h previas,VO,Hipotensión; hiperK; tos menos que IECA.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Diurético de asa,Torasemida,"5, 10, 20 mg VO",10–20 mg/día (equivalente aprox 20–40 mg furosemida),—,No ajuste IH; IR puede requerir más dosis,VO,Mejor biodisp que furosemida.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Antialdosterónico,Espironolactona,"25, 50, 100 mg VO",12.5–25 mg/día y titular,—,Evitar si K+>5 o ClCr <30,VO,HiperK; ginecomastia.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Glucósido cardiaco,Digoxina,0.25 mg VO/IV,Carga 0.5–1 mg en 24 h; mantenimiento 0.125–0.25 mg/día,—,Ajustar IR (acumula); precaución IH,"IV, VO","Intoxicación: arritmias, visión xantopsia; antídoto Fab.",farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
Cardiología_MI,Nitrato,Dinitrato de isosorbida,5 mg IV (perfusión) ; 10–40 mg VO,5–20 mcg/min IV; VO 10–20 mg/8–12 h,—,Precaución IH,"IV, VO",Tolerancia; cefalea.,farmacos_hospitalarios_completo_ES.xlsx::Cardiología_MI,
UCI_Críticos,Vasopresor 1ª línea,Noradrenalina,1 mg/ml; 4 mg/4 ml,0.05–1 mcg/kg/min IV,Peso-basado,Sin ajuste específico; vigilar perfusión,IV (central),Objetivo PAM ≥65 mmHg en sepsis.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Vasopresor/inótropo,Adrenalina (epinefrina),1 mg/ml; 0.1 mg/ml,0.02–0.5 mcg/kg/min IV,Peso-basado,Sin ajuste específico,IV,"Anafilaxia refractaria, shock cardiogénico.",farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Vasopresor adyuvante,Vasopresina,20 UI/ml,0.03 UI/min fijo (0.01–0.04),—,Sin ajuste en IR/IH,IV,No titular por TA; ahorra noradrenalina.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Sedación UCI,Propofol,10 mg/ml,5–10 mg/kg/h (inducción 1–2 mg/kg),Peso-basado,Reducir en IH,IV,Síndrome infusión propofol (raro),farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Sedación UCI/ansiól.,Dexmedetomidina,200 mcg/2 ml,0.2–1.4 mcg/kg/h (sin carga o carga 1 mcg/kg),Peso-basado,Sin ajuste IR; precaución IH,IV,Bradicardia/hipotensión; facilita destete.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Bloqueo neuromuscular,Cisatracurio,2 mg/ml,Bolo 0.1–0.2 mg/kg; perfusión 1–3 mcg/kg/min,Peso-basado,Sin ajuste IR/IH (Hofmann),IV,Monitorizar TOF.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Analgesia UCI,Remifentanilo,1–2 mg liof; 50 mcg/ml tras reconstitución,0.025–0.2 mcg/kg/min,Peso-basado,Sin ajuste IR/IH (esterasas),IV,Inicio/fin muy rápidos.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Antiulceroso UCI,Pantoprazol,40 mg IV/VO,40 mg/24 h,—,Sin ajuste,"IV, VO",Profilaxis úlcera estrés.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Corticoide sepsis,Hidrocortisona,100 mg vial,50 mg IV/6 h (200 mg/día),—,Sin ajuste,IV,Shock séptico refractario.,farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
UCI_Críticos,Broncodilatador,Salbutamol nebulizado,2.5–5 mg/2.5 ml,2.5–5 mg cada 20 min x3 luego c/4–6 h,0.15 mg/kg,Sin ajuste,Nebulizada,"Vigilar hipoK, taquicardia.",farmacos_hospitalarios_completo_ES.xlsx::UCI_Críticos,
Antídotos,Intoxicación por metanol/etilenglicol,Fomepizol,1.5 g/100 ml (según centro),Carga 15 mg/kg IV; luego 10 mg/kg/12 h (15 mg/kg/12 h tras 48 h),Peso-basado,Ajustar en HD (dosis extra post-HD),IV,Alternativa: etanol IV si no disponible.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Intoxicación por cianuro,Hidroxocobalamina,5 g vial,5 g IV en 15 min; repetir 5 g si persiste,—,Sin ajuste,IV,Tiñe piel/orina rojo; interfiere gasometría.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Metahemoglobinemia,Azul de metileno,10 mg/ml,1–2 mg/kg IV en 5 min (repetir a 1 h si precisa),1–2 mg/kg,Evitar en deficiencia G6PD,IV,Puede causar síndrome serotoninérgico con ISRS.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Organofosforados/carbamatos,Atropina + Pralidoxima,1 mg/ml; 1 g/20 ml,Atropina 2 mg IV repetida hasta secreciones secas; Pralidoxima 30 mg/kg IV en 30 min y luego 8–10 mg/kg/h,Peso-basado,Sin ajuste específico,IV,Mantener atropinización; convulsiones: BZD.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Sobredosis paracetamol,N-acetilcisteína (NAC),200 mg/ml IV; 600 mg VO,Esquema 150/50/100 mg/kg IV,Peso-basado,Sin ajuste,"IV, VO",Reacciones anafilactoides: detener/retomar lento.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Sobredosis digoxina,Fab anti-digoxina,Frascos 38–40 mg,Calcular por niveles o dosis ingerida; empírico 4–6 viales en inestables,Peso-basado indirecto,Sin ajuste,IV,Vigilar hipopotasemia de rebote.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Sobredosis hierro,Deferoxamina,500 mg vial,15 mg/kg/h IV (máx 6 g/día),15 mg/kg/h,Ajuste IR (riesgo sobrecarga),IV,Orina color vino; hipotensión si bolo rápido.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Amanita phalloides,Silibinina hemisuccinato,350 mg vial (según acceso),5 mg/kg bolo IV luego 20 mg/kg/día en perfusión,Peso-basado,Sin ajuste claro; vigilar IH,IV,Asociar N-acetilcisteína.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Metahemoglobinemia alternativa,Ácido ascórbico,500 mg–1 g,1–2 g IV,—,Sin ajuste,IV,Menos eficaz que azul de metileno.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
Antídotos,Sobredosis opioides (larga duración),Nalmefeno,0.1 mg/ml,"0.25–0.5 mg IV, repetir según respuesta",—,Sin ajuste,IV,Vida media más larga que naloxona.,farmacos_hospitalarios_completo_ES.xlsx::Antídotos,
